Group,Item,Gram,Match,Comp,Sentence,
A,1,Gram,Match,That,The mountain that the naturalist was happily hiking on was especially beautiful at sunrise.,
B,1,Gram,Mismatch,That,The mountains that the naturalist was happily hiking on were especially beautiful at sunrise.,
C,1,Ungram,Match,That,The mountain that the naturalist were happily hiking on was especially beautiful at sunrise.,
D,1,Ungram,Mismatch,That,The mountains that the naturalist were happily hiking on were especially beautiful at sunrise.,
E,1,Ungram,Match,Where,The mountain where the naturalist were happily hiking was especially beautiful at sunrise.,
F,1,Ungram,Mismatch,Where,The mountains where the naturalist were happily hiking were especially beautiful at sunrise.,
F,2,Gram,Match,Where,The field where the farmer was laboriously planting the crops was rich in nutrients.,
A,2,Gram,Mismatch,Where,The fields where the farmer was laboriously planting the crops were rich in nutrients.,
B,2,Ungram,Match,That,The field that the farmer were laboriously planting the crops in was rich in nutrients.,
C,2,Ungram,Mismatch,That,The fields that the farmer were laboriously planting the crops in was rich in nutrients.,
D,2,Ungram,Match,Where,The field where the farmer were laboriously planting the crops was rich in nutrients.,
E,2,Ungram,Mismatch,Where,The fields where the farmer were laboriously planting the crops was rich in nutrients.,
E,3,Gram,Match,That,The meadow that the backpacker was aimlessly wandering in was lush with vegetation.,
F,3,Gram,Mismatch,That,The meadows that the backpacker was aimlessly wandering in were lush with vegetation.,
A,3,Ungram,Match,That,The meadow that the backpacker were aimlessly wandering in was lush with vegetation.,
B,3,Ungram,Mismatch,That,The meadows that the backpacker were aimlessly wandering in were lush with vegetation.,
C,3,Ungram,Match,Where,The meadow where the backpacker were aimlessly wandering was lush with vegetation.,
D,3,Ungram,Mismatch,Where,The meadows where the backpacker were aimlessly wandering were lush with vegetation.,
D,4,Gram,Match,Where,The swamp where the outdoorsman was exhaustedly hiking was full of birch trees.,swampland > swamp? 
E,4,Gram,Mismatch,Where,The swamps where the outdoorsman was exhaustedly hiking were full of birch trees.,
F,4,Ungram,Match,That,The swamp that the outdoorsman were exhaustedly hiking in was full of birch trees.,
A,4,Ungram,Mismatch,That,The swamps that the outdoorsman were exhaustedly hiking in were full of birch trees.,
B,4,Ungram,Match,Where,The swamp where the outdoorsman were exhaustedly hiking was full of birch trees.,
C,4,Ungram,Mismatch,Where,The swamps where the outdoorsman were exhaustedly hiking were full of birch trees.,
C,5,Gram,Match,That,The building that the architect was thoroughly preparing for his exam in housed several archives of blueprints.,
D,5,Gram,Mismatch,That,The buildings that the architect was thoroughly preparing for his exam in housed several archives of blueprints.,
E,5,Ungram,Match,That,The building that the architect were thoroughly preparing for his exam in housed several archives of blueprints.,
F,5,Ungram,Mismatch,That,The buildings that the architect were thoroughly preparing for his exam in housed several archives of blueprints.,
A,5,Ungram,Match,Where,The building where the architect were thoroughly preparing for his exam housed several archives of blueprints.,
B,5,Ungram,Mismatch,Where,The buildings where the architect were thoroughly preparing for his exam housed several archives of blueprints.,
B,6,Gram,Match,Where,The garden where the botanist is currently collecting specimens is home to many exotic plants.,alternative: studying photosynthesis in > collecting specimens in
C,6,Gram,Mismatch,Where,The gardens where the botanist is currently collecting specimens are home to many exotic plants.,
D,6,Ungram,Match,That,The garden that the botanist are currently collecting specimens in is home to many exotic plants.,
E,6,Ungram,Mismatch,That,The gardens that the botanist are currently collecting specimens in are home to many exotic plants.,
F,6,Ungram,Match,Where,The garden where the botanist are currently collecting specimens is home to many exotic plants.,
A,6,Ungram,Mismatch,Where,The gardens where the botanist are currently collecting specimens are home to many exotic plants.,
A,7,Gram,Match,That,The ruin that the archaeologist was meticulously excavating artifacts in was the site of important cultural events.,
B,7,Gram,Mismatch,That,The ruins that the archaelogist was meticulously excavating artifacts in were the site of important cultural events.,
C,7,Ungram,Match,That,The ruin that the archaeologist were meticulously excavating artifacts in was the site of important cultural events.,
D,7,Ungram,Mismatch,That,The ruins that the archaeologist were meticulously excavating artifacts in were the site of important cultural events.,
E,7,Ungram,Match,Where,The ruin where the archaeologist were meticulously excavating artifacts was the site of important cultural events.,
F,7,Ungram,Mismatch,Where,The ruins where the archaelogist were meticulously excavating artifacts were the site of important cultural events.,
F,8,Gram,Match,Where,The library where the mayor is enthusiastically promoting educational events is in desparate need of funding.,
A,8,Gram,Mismatch,Where,The libraries where the mayor is enthusiastically promoting educational events are in desparate need of funding.,
B,8,Ungram,Match,That,The library that the mayor are enthusiastically promoting educational events at is in desparate need of funding.,
C,8,Ungram,Mismatch,That,The libraries that the mayor are enthusiastically promoting educational events at are in desparate need of funding.,
D,8,Ungram,Match,Where,The library where the mayor are enthusiastically promoting educational events is in desparate need of funding.,
E,8,Ungram,Mismatch,Where,The libraries where the mayor are enthusiastically promoting educational events are in desparate need of funding.,
E,9,Gram,Match,That,The set that the director is currently filming at is intricately detailed.,
F,9,Gram,Mismatch,That,The sets that the director is currently filming at are intricately detailed.,
A,9,Ungram,Match,That,The set that the director are currently filming at is intricately detailed.,
B,9,Ungram,Mismatch,That,The sets that the director are currently filming at are intricately detailed.,
C,9,Ungram,Match,Where,The set where the director are currently filming is intricately detailed.,
D,9,Ungram,Mismatch,Where,The sets where the director are currently filming are intricately detailed.,
D,10,Gram,Match,Where,The park where the musician is routinely holding free concerts is popular with families.,
E,10,Gram,Mismatch,Where,The parks where the musician is routinely holding free concerts are popular with families.,
F,10,Ungram,Match,That,The park that the musician are routinely holding free concerts at is popular with families.,
A,10,Ungram,Mismatch,That,The parks that the musician are routinely holding free concerts at are popular with families.,
B,10,Ungram,Match,Where,The park where the musician are routinely holding free concerts is popular with families.,
C,10,Ungram,Mismatch,Where,The parks where the musician are routinely holding free concerts are popular with families.,
C,11,Gram,Match,That,The cavern that the pirate is greedily searching for treasure in has many dangers.,
D,11,Gram,Mismatch,That,The caverns that the pirate is greedily searching for treasure in have many dangers.,
E,11,Ungram,Match,That,The cavern that the pirate are greedily searching for treasure in has many dangers.,
F,11,Ungram,Mismatch,That,The caverns that the pirate are greedily searching for treasure in have many dangers.,
A,11,Ungram,Match,Where,The cavern where the pirate are greedily searching for treasure has many dangers.,
B,11,Ungram,Mismatch,Where,The caverns where the pirate are greedily searching for treasure have many dangers.,
B,12,Gram,Match,Where,The hallway where the guard is cautiously patrolling is equipped with security cameras.,
C,12,Gram,Mismatch,Where,The hallways where the guard is cautiously patrolling are equipped with security cameras.,
D,12,Ungram,Match,That,The hallway that the guard are cautiously patrolling in is equipped with security cameras.,
E,12,Ungram,Mismatch,That,The hallways that the guard are cautiously patrolling in are equipped with security cameras.,
F,12,Ungram,Match,Where,The hallway where the guard are cautiously patrolling is equipped with security cameras.,
A,12,Ungram,Mismatch,Where,The hallways where the guard are cautiously patrolling are equipped with security cameras.,
A,13,Gram,Match,That,The burner that the chef is meticulously simmering risotto on is precisely calibrated for heat.,maybe food gets some distibutive reading in this one which could affect attraction?
